0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /resources/layout.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /resources/js/ProdcutDetail.js HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 153791
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 20752
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /upload/2023/07/18/76dfbd3e-5ed5-4bd4-b0c6-54f25b6fd1da_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%202.jpg HTTP/1.1" 200 18843
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /upload/2023/07/18/af5a842c-0cd0-4b3d-827b-4d09a0062dd7_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%204.jpg HTTP/1.1" 200 23289
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /upload/2023/07/18/2206098d-6cbc-4fa0-9246-fa5726575216_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%203.jpg HTTP/1.1" 200 21769
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /review/26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 9633
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:17 +0900] "GET /review/26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:24 +0900] "GET / HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:24 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:26 +0900] "GET /member/login HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:29 +0900] "POST /member/login HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:30 +0900] "GET /book/register HTTP/1.1" 200 5411
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:30 +0900] "GET /resources/Bookregister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:30:30 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:08 +0900] "POST /book/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:08 +0900] "GET /book/list?isOk=1 HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:10 +0900] "GET / HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:10 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 10352
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:10 +0900] "GET /resources/prodcutdetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:10 +0900] "GET /upload/2023/07/23/af1113ce-0a24-418d-b46b-d8668a63403d_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%205.jpg HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:32:10 +0900] "GET /review/26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:42 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 10352
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:42 +0900] "GET /resources/prodcutdetail.css HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /resources/layout.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 20752
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 153791
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /upload/2023/07/18/76dfbd3e-5ed5-4bd4-b0c6-54f25b6fd1da_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%202.jpg HTTP/1.1" 200 18843
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /resources/js/ProdcutDetail.js HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /resources/js/ProdcutReview.js HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /upload/2023/07/18/2206098d-6cbc-4fa0-9246-fa5726575216_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%203.jpg HTTP/1.1" 200 21769
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /upload/2023/07/18/af5a842c-0cd0-4b3d-827b-4d09a0062dd7_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%204.jpg HTTP/1.1" 200 23289
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /upload/2023/07/23/af1113ce-0a24-418d-b46b-d8668a63403d_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%205.jpg HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:33:43 +0900] "GET /review/26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 10352
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /resources/prodcutdetail.css HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /resources/layout.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 20752
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /resources/js/ProdcutDetail.js HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 153791
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /resources/js/ProdcutReview.js HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /upload/2023/07/18/76dfbd3e-5ed5-4bd4-b0c6-54f25b6fd1da_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%202.jpg HTTP/1.1" 200 18843
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /upload/2023/07/23/af1113ce-0a24-418d-b46b-d8668a63403d_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%205.jpg HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /upload/2023/07/18/2206098d-6cbc-4fa0-9246-fa5726575216_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%203.jpg HTTP/1.1" 200 21769
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:07 +0900] "GET /upload/2023/07/18/af5a842c-0cd0-4b3d-827b-4d09a0062dd7_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%204.jpg HTTP/1.1" 200 23289
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:34:08 +0900] "GET /review/26 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 10352
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /resources/prodcutdetail.css HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /resources/layout.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /resources/js/ProdcutReview.js HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 20752
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 200 153791
0:0:0:0:0:0:0:1 - - [23/Jul/2023:18:35:07 +0900] "GET /resources/js/ProdcutDetail.js HTTP/1.1" 200 741
