0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:04:45 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:04:45 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:04:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:05:15 +0900] "GET /book/register HTTP/1.1" 200 5428
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:05:15 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:05:15 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:05:15 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:05:15 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:02 +0900] "GET /book/register HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:02 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:02 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:02 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:35 +0900] "GET /book/list HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:35 +0900] "GET /resources/Booklist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:55 +0900] "GET /book/list HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:55 +0900] "GET /resources/Booklist.css HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:55 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:06:55 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:07 +0900] "GET /book/list HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:07 +0900] "GET /resources/Booklist.css HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:07 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:08 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:08 +0900] "GET /book/list HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:08 +0900] "GET /resources/Booklist.css HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:08 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:09 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:19 +0900] "GET /book/list HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:19 +0900] "GET /resources/Booklist.css HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:19 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:19 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:21 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:21 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:26 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:26 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:26 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:26 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:27 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:32 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:32 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:32 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:32 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:32 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:42 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:42 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:42 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:42 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:07:42 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:02 +0900] "GET /resources/Bookregister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:37 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:37 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:37 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:37 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:37 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:50 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:50 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:50 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:50 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:08:50 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:25 +0900] "GET /book/register HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:25 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:25 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:25 +0900] "GET /resources/js/BookRegister.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:26 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:27 +0900] "GET / HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:28 +0900] "GET /book/list HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:28 +0900] "GET /resources/Booklist.css HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:30 +0900] "GET /book/detail?bno=23 HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:09:30 +0900] "GET /resources/Bookdetail.css HTTP/1.1" 200 352
