127.0.0.1 - - [29/Jul/2023:17:45:43 +0900] "GET / HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:45 +0900] "GET / HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:45 +0900] "GET /resources/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /book/ProdcutDetail?bno=31 HTTP/1.1" 200 15962
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /resources/prodcutdetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /resources/js/ProdcutDetail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/23/0185bbec-bcee-4516-ad25-3d6f51506667_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%206.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/7f3b4c1b-3a91-4959-8066-125ce5e591aa_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2013.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/1f669a2d-e744-42dd-a076-23a58d29e242_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2014.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/24174f6a-1cd5-419f-9bdc-c2eb8c09225b_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2012.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/53541bf6-bc1b-4643-8a4c-99cbabd76a98_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2015.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/d261d43a-2eb0-41d3-86a3-ed160af846cb_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2011.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/cfc04f90-556d-46c0-b2eb-d9080ae8aa09_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/23/40d33692-c0b7-489f-9022-662f13a70e0a_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%208.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/27/8f8e4199-0ffc-49d8-930b-28179344261b_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%209.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/23/85e36331-59d7-4624-a00a-5b6012d4b605_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%207.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /upload/2023/07/23/af1113ce-0a24-418d-b46b-d8668a63403d_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%205.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /resources/js/ProdcutReview.js HTTP/1.1" 200 6386
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:48 +0900] "GET /review/31 HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:52 +0900] "GET /book/ProdcutDetail?bno=25 HTTP/1.1" 500 3880
0:0:0:0:0:0:0:1 - - [29/Jul/2023:17:45:53 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 15893
